"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",-0.265864574476148,-0.0307874202233599,-0.308715341283592,-0.312773802389313,-0.18105478248781,-0.163373438815554,-0.242982206379389,-0.129586982132416,-0.585106774991434,-0.323338726289134
"2",0.000196761171566322,0.000288370245601982,1.28007445018739e-05,0.000993679637787864,0.000409765408141539,0.000307200342183933,0.000207000561058521,0.00041869174526073,0.000930028585251421,0.000272708593634889
"3",3.28583316877484e-06,0.000341378021519631,0.000799925663042814,0.000675497367745265,0.000535883798496798,7.8345665242523e-05,0.0003745757129509,0.000483228552620858,0.000498753380496055,0.000739477267023176
"4",0.000455126504879445,5.49750826321542e-05,7.08731925114989e-05,0.000726608332246542,0.00089097074046731,0.000195982395904139,0.000949565946124494,0.000470601890236139,0.000471929015824571,0.00077576928306371
"5",0.000404246500693262,0.000461917179170996,0.000367569252150133,0.0008179201555904,0.000382553047966212,0.000779590534511954,0.000185815904987976,1.19182867929339e-05,0.000387061897898093,0.000847728470806032
"6",0.000133098408579826,0.000874319746391848,0.000764157575787976,0.000393197157420218,0.000864601836306974,0.000144943879684433,0.000344131923746318,0.000156011631479487,0.000734185616252944,0.000354929454624653
"7",0.000723557903664187,9.84556765761226e-05,0.000393622448202223,0.000215805536136031,0.000214449704857543,0.000275661335093901,0.000496102934703231,0.000276675951434299,0.000542801997857168,0.000116534833563492
"8",0.000235569331096485,0.000604330965783447,3.38174505159259e-05,0.000366476781666279,0.000721905304351822,0.000754040448227897,0.000873444841941819,0.000448491416405886,0.000499192824820057,0.000210112316301093
"9",0.000179472345625982,0.000611134747043252,0.00096827432885766,0.00095429876842536,0.000264284278731793,2.70146890543401e-05,0.000322803782997653,0.000605924097821116,0.000205509922932833,0.000788089792709798
"10",0.000849455201765522,0.000467761011095718,0.000556230708723888,0.000995014210464433,0.000825469139032066,0.000306530692847446,0.00021810678881593,0.000411054800730199,0.000987725402461365,0.000321827341336757
"11",9.13352335337549e-05,0.000899644813500345,8.47253839019686e-05,0.000786412368528545,0.000800980843836442,0.000798759957542643,0.000991977538214996,0.000305977652780712,0.000952880412572995,0.000967436430510134
"12",8.26382786035538e-05,4.30114828050137e-05,0.000975115203531459,4.69494336284697e-05,0.00042815050133504,0.000929252434521914,0.000296545409364626,0.000803847120376304,8.62361118197441e-06,0.000812904806109145
"13",0.000659094439819455,0.000335036531789228,0.000644620091188699,0.000331101371906698,0.000461062315152958,0.000926129429833963,0.000349358677165583,0.000967098434222862,0.000800038393354043,0.000892825036076829
"14",0.00052553260125518,0.000675664158909576,0.00038770705536733,0.000722158245556408,0.000692772250793994,0.000681537078929836,7.01776363027363e-05,0.00074197365753416,0.000175154076248547,0.000384747581439453
"15",0.000910429101378959,0.000232327205184257,0.000506270941543695,0.000392430890554617,0.000606118651509613,0.000550978467418067,0.000599757844126167,0.000401266582160028,9.48435075691914e-05,0.000234322663903809
"16",4.59402737717444e-05,0.000705264568657281,0.000972930819431307,0.000978342526275715,0.000536517429105813,0.00018460966038301,0.000246732592389055,0.000721471162910887,0.000698038995573957,0.000183242460782715
